hrs,min,day_of_week,is_weekend,0,1,2,3,4
0,0,0,0,0.0077,0.0112,0.0143,0.0074,0.0073
0,5,0,0,0.0074,0.008,0.0156,0.0057,0.006
0,10,0,0,0.0093,0.0068,0.0122,0.0082,0.0036
0,15,0,0,0.0112,0.0089,0.0148,0.0104,0.0044
0,20,0,0,0.0144,0.0081,0.0258,0.0147,0.0036
0,25,0,0,0.0153,0.0142,0.0255,0.0201,0.0073
0,30,0,0,0.0172,0.0245,0.0157,0.0221,0.009000000000000001
0,35,0,0,0.02,0.0246,0.0228,0.0262,0.0088
0,40,0,0,0.0183,0.0262,0.0129,0.0196,0.0129
0,45,0,0,0.0215,0.034,0.0269,0.0195,0.0153
0,50,0,0,0.0191,0.0269,0.0234,0.022000000000000002,0.0159
0,55,0,0,0.019,0.0361,0.0161,0.0227,0.0174
1,0,0,0,0.0189,0.0338,0.0218,0.0219,0.0129
1,5,0,0,0.0435,0.0246,0.016,0.018000000000000002,0.0205
1,10,0,0,0.0165,0.0348,0.0176,0.0201,0.01
1,15,0,0,0.0179,0.0319,0.0112,0.017,0.0138
1,20,0,0,0.0176,0.0251,0.0099,0.0203,0.013000000000000001
1,25,0,0,0.0143,0.0355,0.0239,0.0179,0.0108
1,30,0,0,0.0205,0.0244,0.0311,0.0167,0.0103
1,35,0,0,0.0102,0.0262,0.0251,0.0161,0.0073
1,40,0,0,0.0167,0.0243,0.0277,0.0148,0.0092
1,45,0,0,0.0139,0.0275,0.0178,0.0109,0.0076
1,50,0,0,0.015,0.0296,0.0127,0.0203,0.0104
1,55,0,0,0.0146,0.0213,0.0238,0.0168,0.0057
2,0,0,0,0.0127,0.0219,0.015,0.0097,0.0096
2,5,0,0,0.0123,0.0186,0.0047,0.0137,0.0107
2,10,0,0,0.0191,0.0193,0.0212,0.0094,0.0075
2,15,0,0,0.0133,0.0246,0.0195,0.013999999999999999,0.003
2,20,0,0,0.0134,0.0203,0.0054,0.0119,0.0069
2,25,0,0,0.0111,0.0159,0.006999999999999999,0.0123,0.0093
2,30,0,0,0.0109,0.0202,0.0146,0.0098,0.0042
2,35,0,0,0.011000000000000001,0.0181,0.0174,0.0134,0.0074
2,40,0,0,0.0111,0.0155,0.0101,0.0127,0.0042
2,45,0,0,0.0104,0.0124,0.0098,0.0108,0.0053
2,50,0,0,0.0094,0.0139,0.0066,0.0093,0.0062
2,55,0,0,0.0112,0.0108,0.0097,0.0086,0.004
3,0,0,0,0.0108,0.0149,0.0043,0.0073,0.0064
3,5,0,0,0.0089,0.0142,0.0118,0.0062,0.0069
3,10,0,0,0.0074,0.0111,0.005,0.0053,0.0065
3,15,0,0,0.0101,0.0159,0.0025,0.008,0.0036
3,20,0,0,0.0075,0.0161,0.0103,0.0041,0.0048
3,25,0,0,0.0079,0.0118,0.0208,0.0055,0.0033
3,30,0,0,0.0087,0.0152,0.0108,0.0034,0.003
3,35,0,0,0.0096,0.0133,0.0142,0.005,0.004
3,40,0,0,0.008,0.0172,0.0167,0.0053,0.0011
3,45,0,0,0.0095,0.0112,0.0054,0.0089,0.0017
3,50,0,0,0.0083,0.0187,0.0051,0.0039,0.0062
3,55,0,0,0.008,0.0146,0.0048,0.0046,0.0044
4,0,0,0,0.0067,0.0117,0.0027,0.0038,0.006
4,5,0,0,0.0044,0.0127,0.016,0.0064,0.0039
4,10,0,0,0.0121,0.0096,0.0146,0.0044,0.0024
4,15,0,0,0.0061,0.0154,0.0146,0.0056,0.0038
4,20,0,0,0.0068,0.013999999999999999,0.019,0.0031,0.0022
4,25,0,0,0.0061,0.0127,0.0129,0.0022,0.0028
4,30,0,0,0.0055,0.0118,0.0132,0.002,0.006999999999999999
4,35,0,0,0.0093,0.0174,0.0158,0.0035,0.005
4,40,0,0,0.006999999999999999,0.0156,0.0137,0.0057,0.002
4,45,0,0,0.0083,0.0152,0.0143,0.0042,0.0047
4,50,0,0,0.0062,0.0133,0.0117,0.0049,0.0046
4,55,0,0,0.0071,0.0143,0.0147,0.0043,0.0077
5,0,0,0,0.006,0.0103,0.0174,0.0065,0.004
5,5,0,0,0.005,0.0137,0.0099,0.0037,0.0049
5,10,0,0,0.0083,0.013999999999999999,0.0022,0.0036,0.0087
5,15,0,0,0.0057,0.0132,0.0136,0.004,0.0057
5,20,0,0,0.0077,0.0154,0.0093,0.0039,0.0065
5,25,0,0,0.0054,0.0143,0.0216,0.0046,0.0105
5,30,0,0,0.0075,0.0176,0.0083,0.0073,0.0057
5,35,0,0,0.0066,0.0191,0.0152,0.0068,0.0086
5,40,0,0,0.0078,0.022000000000000002,0.0149,0.0076,0.0073
5,45,0,0,0.0097,0.013999999999999999,0.01,0.0054,0.0075
5,50,0,0,0.0083,0.0125,0.017,0.0064,0.0089
5,55,0,0,0.0062,0.0181,0.017,0.0053,0.0078
6,0,0,0,0.0075,0.0195,0.0081,0.0048,0.0103
6,5,0,0,0.0074,0.0104,0.0175,0.0072,0.0097
6,10,0,0,0.0101,0.0173,0.0206,0.0069,0.0097
6,15,0,0,0.0091,0.018000000000000002,0.0227,0.0086,0.0056
6,20,0,0,0.0092,0.0177,0.0128,0.0082,0.0097
6,25,0,0,0.0102,0.0203,0.0261,0.0087,0.0115
6,30,0,0,0.0102,0.02,0.0211,0.009000000000000001,0.0116
6,35,0,0,0.0101,0.0198,0.0218,0.0087,0.0128
6,40,0,0,0.017,0.0156,0.0215,0.0108,0.0109
6,45,0,0,0.0142,0.0204,0.025,0.0107,0.0095
6,50,0,0,0.0128,0.0159,0.0207,0.0132,0.0091
6,55,0,0,0.0112,0.0175,0.0103,0.0069,0.0099
7,0,0,0,0.008,0.0152,0.0166,0.0113,0.0081
7,5,0,0,0.0091,0.0191,0.017,0.0077,0.0099
7,10,0,0,0.0095,0.0128,0.0165,0.0099,0.0111
7,15,0,0,0.009000000000000001,0.0145,0.0117,0.0076,0.0057
7,20,0,0,0.0076,0.0114,0.0164,0.0098,0.0146
7,25,0,0,0.0083,0.0195,0.0138,0.0073,0.0112
7,30,0,0,0.0128,0.0133,0.0185,0.011000000000000001,0.0118
7,35,0,0,0.0248,0.024,0.0042,0.011000000000000001,0.012
7,40,0,0,0.0106,0.0203,0.0108,0.0115,0.0116
7,45,0,0,0.0184,0.0184,0.018000000000000002,0.0164,0.0136
7,50,0,0,0.009000000000000001,0.0187,0.0233,0.0136,0.0114
7,55,0,0,0.0109,0.0165,0.0074,0.0122,0.0158
8,0,0,0,0.013000000000000001,0.0226,0.0094,0.0127,0.0157
8,5,0,0,0.0119,0.0222,0.0195,0.0116,0.0166
8,10,0,0,0.0098,0.0167,0.02,0.0117,0.0127
8,15,0,0,0.0119,0.0284,0.0178,0.0123,0.0135
8,20,0,0,0.0108,0.0256,0.0201,0.0113,0.0127
8,25,0,0,0.0113,0.0249,0.0232,0.016,0.0209
8,30,0,0,0.0149,0.0213,0.0297,0.0136,0.0164
8,35,0,0,0.0138,0.0266,0.0235,0.0158,0.0244
8,40,0,0,0.0171,0.0289,0.0263,0.0126,0.0185
8,45,0,0,0.0153,0.03,0.0114,0.0137,0.0185
8,50,0,0,0.0167,0.021,0.0233,0.0178,0.0238
8,55,0,0,0.0155,0.0257,0.0263,0.0179,0.0226
9,0,0,0,0.0149,0.0249,0.0241,0.0148,0.0192
9,5,0,0,0.0154,0.02,0.0216,0.0174,0.0253
9,10,0,0,0.0157,0.0213,0.0264,0.0164,0.0287
9,15,0,0,0.017,0.0264,0.0232,0.0168,0.0236
9,20,0,0,0.0185,0.026000000000000002,0.0139,0.0179,0.0273
9,25,0,0,0.0177,0.0263,0.0226,0.0165,0.0275
9,30,0,0,0.0203,0.0324,0.008,0.0177,0.0316
9,35,0,0,0.0206,0.0266,0.0288,0.022000000000000002,0.0277
9,40,0,0,0.022000000000000002,0.0292,0.027999999999999997,0.0234,0.0362
9,45,0,0,0.0268,0.0287,0.0351,0.0244,0.0258
9,50,0,0,0.0241,0.032,0.0275,0.0251,0.0382
9,55,0,0,0.0237,0.0292,0.0185,0.0262,0.0295
10,0,0,0,0.0208,0.0261,0.0091,0.0272,0.0322
10,5,0,0,0.0216,0.0331,0.0231,0.0246,0.0372
10,10,0,0,0.025,0.0277,0.024,0.0292,0.0381
10,15,0,0,0.0278,0.0418,0.0287,0.0265,0.0411
10,20,0,0,0.0225,0.035,0.0114,0.0286,0.0378
10,25,0,0,0.0233,0.037000000000000005,0.0,0.0234,0.0425
10,30,0,0,0.0249,0.0351,0.0249,0.0331,0.0379
10,35,0,0,0.0274,0.0392,0.0185,0.027999999999999997,0.0635
10,40,0,0,0.0281,0.0381,0.0369,0.0307,0.0553
10,45,0,0,0.0306,0.0459,0.0195,0.0308,0.0507
10,50,0,0,0.0278,0.043,0.018000000000000002,0.031,0.0464
10,55,0,0,0.0289,0.0468,0.0222,0.0335,0.0582
11,0,0,0,0.0325,0.0423,0.0226,0.0329,0.0601
11,5,0,0,0.0321,0.0423,0.0078,0.0321,0.0623
11,10,0,0,0.0279,0.0438,0.0346,0.0299,0.0619
11,15,0,0,0.0315,0.0438,0.0299,0.037000000000000005,0.0591
11,20,0,0,0.0289,0.0388,0.0221,0.0412,0.0598
11,25,0,0,0.0313,0.0435,0.057,0.0405,0.0701
11,30,0,0,0.0319,0.0481,0.0353,0.0424,0.0542
11,35,0,0,0.0307,0.0392,0.0359,0.0424,0.0692
11,40,0,0,0.0344,0.0534,0.0191,0.0423,0.0582
11,45,0,0,0.0383,0.0494,0.0361,0.0425,0.0743
11,50,0,0,0.0332,0.0535,0.0483,0.0461,0.064
11,55,0,0,0.0343,0.0545,0.0158,0.0396,0.0619
12,0,0,0,0.0317,0.0456,0.0229,0.0376,0.0645
12,5,0,0,0.0318,0.0399,0.0276,0.0393,0.0621
12,10,0,0,0.0338,0.0575,0.0145,0.0466,0.0682
12,15,0,0,0.0312,0.0447,0.0251,0.0472,0.0653
12,20,0,0,0.0369,0.0616,0.0412,0.0432,0.0819
12,25,0,0,0.0398,0.0597,0.0062,0.0436,0.0589
12,30,0,0,0.0386,0.0465,0.0286,0.0395,0.0823
12,35,0,0,0.0314,0.0561,0.0039,0.048,0.0741
12,40,0,0,0.0403,0.0525,0.0361,0.0528,0.0753
